"var","var_2","cor"
"1","ci","por_mora60_max1m12",0.0074
"2","ci","saldo_mora60_max1m12",0.0399
"3","ci","saldo_cal34_max1m3",0.0141
"4","ci","por_cal34_max1m3",-0.0098
"5","ci","por_mora60_max1m3",-0.0112
"6","ci","saldo_mora60_max1m3",0.0109
"7","ci","por_mora90_max1m3",-0.0099
"8","ci","saldo_mora90_max1m3",0.0125
"9","ci","por_mora90_max1m12",-0.0059
"10","ci","saldo_mora90_max1m12",0.0174
"11","ci","por_mora60_max1m6",-0.0053
"12","ci","saldo_mora60_max1m6",0.0313
"13","ci","saldo_cal4_max1m6",0.0037
"14","ci","por_mora90_max1m6",-0.0135
"15","ci","saldo_mora90_max1m6",0.0062
"16","ci","saldo_cal34_max1m12",0.041
"17","ci","por_cal34_max1m12",0.0119
"18","ci","ci_pv",0.9473
"19","ci","saldo_cal34_max1m6",0.0331
"20","ci","por_cal4_max1m6",-0.0158
"21","ci","saldo_cal4_max1m12",0.0134
"22","ci","por_cal34_1m",-0.0172
"23","ci","por_cal4_max1m12",-0.0063
"24","ci","saldo_cal4_max1m3",0.0111
"25","ci","por_mora60_1m",-0.013
"26","ci","saldo_mora60_1m",0.0147
"27","ci","por_cal4_max1m3",-0.0126
"28","ci","por_cal34_max1m6",-0.0039
"29","ci","por_mora90_1m",-0.0113
"30","ci","saldo_mora90_1m",0.0154
"31","ci","por_castigo_max1m6",-0.0146
"32","ci","saldo_castigo_max1m6",0.0147
"33","ci","saldo_cal34_1m",0.0127
"34","ci","por_mora_0_min1m6",-0.0011
"35","ci","por_cal4_1m",-0.0127
"36","ci","por_cal0_min1m3",-0.0136
"37","ci","por_mora_0_min1m3",-0.0021
"38","ci","por_vig_min1m3",0.0071
"39","ci","por_castigo_max1m3",-0.0104
"40","ci","saldo_castigo_max1m3",0.0244
"41","ci","frec_por_cal0_100_1m12",0.0096
"42","ci","saldo_cal4_1m",0.0163
"43","ci","por_vig_min1m6",0.0071
"44","ci","saldo_cal234_max1m3",0.0136
"45","ci","por_mora30_max1m3",-0.0065
"46","ci","saldo_mora30_max1m3",0.01
