"ci_woe","edad_woe","linea_total_1m_woe","por_mora_0_min1m6_woe","por_mora_0_min1m3_woe","por_vig_min1m3_woe","por_vig_min1m6_woe","por_vig_min1m12_woe","por_mora_0_min1m12_woe","calificacion_max1m6_woe","linea_total_max1m6_woe","linea_activa_max1m6_woe","linea_total_max1m12_woe"
"ci_woe",1,0.073205079114682,0.073254310658328,0.0645546069717488,0.0713095538759866,0.0917979266813762,0.0798927235598889,0.0577714807633154,0.0398437306818895,0.0514177597425525,0.0742823740101143,0.0717975221815551,0.0738783007692942
"edad_woe",0.073205079114682,1,0.0975535199394166,0.0770722883054996,0.0773055381982543,0.0498371013490952,0.0497287112940283,0.0393403664542273,0.0763923123650366,0.0610993380601066,0.104493267982602,0.0828126343862427,0.076752583234512
"linea_total_1m_woe",0.073254310658328,0.0975535199394166,1,0.498410458118237,0.509285765270477,0.507854968583528,0.510328647883173,0.507654136311158,0.479027458810355,0.429366402141476,0.935666262317185,0.941918515555946,0.867576361487416
"por_mora_0_min1m6_woe",0.0645546069717488,0.0770722883054996,0.498410458118237,1,0.943547680991671,0.819205606714434,0.834595013083132,0.798439892149578,0.917317023072483,0.878791163752303,0.47509856003381,0.460456347240656,0.415573100006868
"por_mora_0_min1m3_woe",0.0713095538759866,0.0773055381982543,0.509285765270477,0.943547680991671,1,0.862522631330773,0.842170292070031,0.801753198908202,0.868213481121586,0.854167057671029,0.485649169181084,0.474289624989124,0.425359023687228
"por_vig_min1m3_woe",0.0917979266813762,0.0498371013490952,0.507854968583528,0.819205606714434,0.862522631330773,1,0.971184548503803,0.918387418768669,0.753100006422981,0.781584462297735,0.477282445941999,0.470589690124061,0.422957721496425
"por_vig_min1m6_woe",0.0798927235598889,0.0497287112940283,0.510328647883173,0.834595013083132,0.842170292070031,0.971184548503803,1,0.944308547533621,0.766628876844702,0.797648762608862,0.478035260316582,0.47058083755594,0.419817572615891
"por_vig_min1m12_woe",0.0577714807633154,0.0393403664542273,0.507654136311158,0.798439892149578,0.801753198908202,0.918387418768669,0.944308547533621,1,0.798260206166429,0.760228243473296,0.47816508568139,0.470009683460511,0.422451370966386
"por_mora_0_min1m12_woe",0.0398437306818895,0.0763923123650366,0.479027458810355,0.917317023072483,0.868213481121586,0.753100006422981,0.766628876844702,0.798260206166429,1,0.826988270234404,0.461252873803166,0.444016068381654,0.398086492976014
"calificacion_max1m6_woe",0.0514177597425525,0.0610993380601066,0.429366402141476,0.878791163752303,0.854167057671029,0.781584462297735,0.797648762608862,0.760228243473296,0.826988270234404,1,0.397917675745426,0.392521730720178,0.347130270769158
"linea_total_max1m6_woe",0.0742823740101143,0.104493267982602,0.935666262317185,0.47509856003381,0.485649169181084,0.477282445941999,0.478035260316582,0.47816508568139,0.461252873803166,0.397917675745426,1,0.962792754650779,0.925696882773308
"linea_activa_max1m6_woe",0.0717975221815551,0.0828126343862427,0.941918515555946,0.460456347240656,0.474289624989124,0.470589690124061,0.47058083755594,0.470009683460511,0.444016068381654,0.392521730720178,0.962792754650779,1,0.910848451763524
"linea_total_max1m12_woe",0.0738783007692942,0.076752583234512,0.867576361487416,0.415573100006868,0.425359023687228,0.422957721496425,0.419817572615891,0.422451370966386,0.398086492976014,0.347130270769158,0.925696882773308,0.910848451763524,1
