"variable","mean","std_dev","variation_coef","p_01","p_05","p_25","p_50","p_75","p_95","p_99","skewness","kurtosis","iqr","range_98","range_80"
"1","cosecha",201812.632207639,205.920404019183,0.00102035438399772,201308,201504,201610,201809,202005,202106,202108,-0.252126964686751,2.14856163904581,395,"[201308, 202108]","[201511, 202104]"
"2","expediente",30677729.1928919,1185426.46839166,0.038641271684031,25481819.2,30014394,30165229,30517668,31145341,32167723,32245574.2,-2.10763709951326,11.2901556693164,980112,"[25481819.2, 32245574.2]","[30057687, 32103613]"
"3","indeterminado",0.00368677186255714,0.0606112311596596,16.4401903397461,0,0,0,0,0,0,0,16.3781470384915,269.243700414446,0,"[0, 0]","[0, 0]"
"4","insuficiente",0.135673204542103,0.342466468401707,2.52420121981737,0,0,0,0,0,1,1,2.12782094507231,5.5276219742884,0,"[0, 1]","[0, 1]"
"5","edad",37.2321191564666,10.2779272359083,0.276050019949595,21,23,29,36,44,57,64,0.572478358485496,2.72274236829935,15,"[21, 64]","[25, 52]"
"6","carga_fam",1.41740412979351,1.20545707554443,0.850468155274845,0,0,0,1,2,3,4,0.527356521088518,2.8430137612866,2,"[0, 4]","[0, 3]"
"7","ingreso",3361.43911910261,243.960254818112,0.0725761336660001,3037.13,3037.13,3037.13,3461,3597,3597,3597,0.492548074668164,20.067319389148,559.87,"[3037.13, 3597]","[3037.13, 3597]"
"8","maf",37973.6442877744,7727.64898219622,0.203500325742613,20959,25253,32579,37795,43305,49802,57646.6,0.0970485849097045,2.85704518126339,10726,"[20959, 57646.6]","[27943, 48682]"
"9","ci",943.813252045564,856.355492140588,0.907335736476019,0,0,499,1000,1500,1800,3000,5.89892504632874,136.030193556267,1001,"[0, 3000]","[0, 1650]"
"10","cuota",1213.25378304759,249.848047573094,0.205932222148524,688.4,832,1005,1207,1392,1658.57,1707.27,-0.0328150474586389,2.69894112739459,387,"[688.4, 1707.27]","[900, 1556.06]"
"11","pv",35545.2095817978,8595.50190890586,0.241818855762423,17332.2,20935,29314,35569,41490,48932,56228,0.00725518721907281,2.61878203664913,12176,"[17332.2, 56228]","[23920, 47332]"
"12","antiguedad",2.96751968503937,1.32424461211498,0.446246277250025,0,1,2,3,4,5,5,0.0137835624078125,2.20057606835985,2,"[0, 5]","[1, 5]"
"13","cuotas_pend",50.6982745907683,17.5156932155691,0.345488941328953,35,36,48,48,48,66,158.2,7.50792799714888,69.6843642421149,0,"[35, 158.2]","[42, 66]"
"14","cuotas_canc",0.0126582278481013,0.177487897735471,14.0215439211022,0,0,0,0,0,0,0,24.1423446727841,733.681176310627,0,"[0, 0]","[0, 0]"
"15","saldo_cap",37998.5488629996,7724.72774232896,0.203290072212489,20865.002,25339.77,32675.91,37874.38,43214.84,49957.33,57640.144,0.0823027286200058,3.16799579519199,10538.93,"[20865.002, 57640.144]","[28000.56, 48398]"
"16","saldo_int",24.6241940716708,104.767333974667,4.25465027077566,0,0,0,0,0,151.89,528.802,6.72795827572497,59.4290776636491,0,"[0, 528.802]","[0, 36.63]"
"17","saldo_mora",0.000597257041734257,0.0491822225913362,82.3468275041607,0,0,0,0,0,0,0,82.3286107467667,6779.00014749263,0,"[0, 0]","[0, 0]"
"18","provision",1761.46158133019,5475.88339101453,3.10871576709573,149.912,242.67,331.98,387.22,454.71,17827.9,28141.586,4.0702678545333,19.3264151118808,122.73,"[149.912, 28141.586]","[277.43, 547.59]"
"19","cap_vig",37970.6217431057,7791.46745296352,0.205197257650336,20784,25314.58,32657.43,37866.98,43210.24,49957.33,57640.144,0.00551799830997767,3.47768600411931,10552.81,"[20784, 57640.144]","[27996.69, 48398]"
"20","cap_ref",27.927119893821,1041.91489075784,37.308354557119,0,0,0,0,0,0,0,38.1711833585467,1487.85862783714,0,"[0, 0]","[0, 0]"
"21","cap_ven",0,0,NA,0,0,0,0,0,0,0,NA,NA,0,"[0, 0]","[0, 0]"
"22","cap_jud",0,0,NA,0,0,0,0,0,0,0,NA,NA,0,"[0, 0]","[0, 0]"
"23","mora_prom1m6",0.00316455696202532,0.137794563652388,43.5430821141545,0,0,0,0,0,0,0,43.5086258999809,1894.00052770449,0,"[0, 0]","[0, 0]"
"24","mora",0.32172373081464,5.41318115565011,16.8255575737088,0,0,0,0,0,0,0,28.9185852468484,1215.85028472688,0,"[0, 0]","[0, 0]"
"25","calificacion_conalin",0.191564665978469,0.723209568163258,3.77527642934184,0,0,0,0,0,3,3,3.56546666273514,13.8577223088143,0,"[0, 3]","[0, 0]"
"26","calificacion_sinalin",0.0137147913287126,0.17920033959751,13.0662097076421,0,0,0,0,0,0,0,14.6109773661218,234.523278105881,0,"[0, 0]","[0, 0]"
"27","sobreend",26758.6672582076,230496.31282621,8.6138936069587,0,0,0,0,0,0,2010163.7,8.49392891152283,73.1468303445719,0,"[0, 2010163.7]","[0, 0]"
"28","riesgocc",2258299.8937247,18310693.0395603,8.10817601791578,1,1,1,1,1,1,144828758.36,8.07943623012608,67.087403251984,0,"[1, 144828758.36]","[1, 1]"
"29","refinanciacion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[NA, NA]","[NA, NA]"
"30","im_pagcof",0.111443498452012,2.50055057938414,22.4378327503859,0,0,0,0,0,0,0,30.8757231256337,1070.97142140508,0,"[0, 0]","[0, 0]"
"31","carga_gnv",6.20944167044939,163.355212145389,26.3075524040742,0,0,0,0,0,0,0,32.7011869198916,1166.72333785082,0,"[0, 0]","[0, 0]"
"32","nro_carga_gnv",0.011609907120743,0.235826815254378,20.3125496872438,0,0,0,0,0,0,0,26.246913307114,761.157389056839,0,"[0, 0]","[0, 0]"
