"variable","q_zeros","p_zeros","q_na","p_na","q_inf","p_inf","type","unique"
"1","cosecha",0,0,0,0,0,0,"integer",104
"2","activacion",0,0,0,0,0,0,"factor",1358
"3","cv",0,0,0,0,0,0,"factor",6781
"4","co",0,0,0,0,0,0,"factor",6778
"5","expediente",0,0,0,0,0,0,"integer",6775
"6","producto",0,0,0,0,0,0,"factor",2
"7","malo",5556,81.93,0,0,0,0,"factor",2
"8","indeterminado",6756,99.63,0,0,0,0,"integer",2
"9","insuficiente",5861,86.43,0,0,0,0,"integer",2
"10","edad",0,0,0,0,0,0,"integer",51
"11","educacion",0,0,0,0,0,0,"factor",10
"12","estado_civil",0,0,0,0,0,0,"factor",5
"13","vivienda",0,0,0,0,0,0,"factor",4
"14","perfil",0,0,0,0,0,0,"factor",8
"15","carga_fam",1945,28.68,1,0.01,0,0,"integer",9
"16","ingreso",0,0,719,10.6,0,0,"numeric",25
"17","maf",0,0,540,7.96,0,0,"integer",2787
"18","ci",1437,21.19,548,8.08,0,0,"integer",137
"19","cuota",0,0,540,7.96,0,0,"numeric",2199
"20","marca",0,0,0,0,0,0,"factor",28
"21","pv",0,0,540,7.96,0,0,"integer",1514
"22","antiguedad",17,0.25,5765,85.02,0,0,"integer",7
"23","cuotas_pend",0,0,0,0,0,0,"integer",76
"24","cuotas_canc",1879,27.71,4885,72.04,0,0,"integer",4
"25","saldo_cap",0,0,0,0,0,0,"numeric",6108
"26","saldo_int",6061,89.38,0,0,0,0,"numeric",680
"27","saldo_mora",6780,99.99,0,0,0,0,"numeric",2
"28","provision",0,0,0,0,0,0,"numeric",5602
"29","garpref",0,0,0,0,0,0,"factor",2
"30","cap_vig",5,0.07,0,0,0,0,"numeric",6105
"31","cap_ref",6776,99.93,0,0,0,0,"numeric",6
"32","cap_ven",6781,100,0,0,0,0,"integer",1
"33","cap_jud",6781,100,0,0,0,0,"integer",1
"34","mora_prom1m6",1895,27.95,4885,72.04,0,0,"integer",2
"35","mora",6738,99.37,5,0.07,0,0,"integer",32
"36","calificacion_conalin",6326,93.29,0,0,0,0,"integer",5
"37","calificacion_sinalin",6735,99.32,0,0,0,0,"integer",5
"38","sobreend",1110,16.37,5654,83.38,0,0,"integer",17
"39","riesgocc",0,0,5793,85.43,0,0,"integer",16
"40","refin",0,0,0,0,0,0,"factor",3
"41","refinanciacion",0,0,6781,100,0,0,"logical",0
"42","im_pagcof",2573,37.94,4197,61.89,0,0,"numeric",12
"43","carga_gnv",2192,32.33,4578,67.51,0,0,"numeric",11
"44","nro_carga_gnv",2573,37.94,4197,61.89,0,0,"integer",7
"45","cv_carga_gnv",0,0,6771,99.85,0,0,"numeric",10
"46","relacion_im_pagcof_cuota",2573,37.94,4197,61.89,0,0,"numeric",12
"47","relacion_carga_gnv_cuota",2192,32.33,4578,67.51,0,0,"numeric",12
"48","can_emp_1m",0,0,2717,40.07,0,0,"integer",7
"49","cm_1m",7,0.1,2717,40.07,0,0,"numeric",3962
"50","por_cal0_1m",2389,35.23,2717,40.07,0,0,"numeric",210
"51","saldo_cal4_1m",1750,25.81,2815,41.51,0,0,"numeric",2171
"52","por_cal4_1m",1848,27.25,2717,40.07,0,0,"numeric",194
"53","saldo_cal34_1m",1671,24.64,2815,41.51,0,0,"numeric",2253
"54","por_cal34_1m",1769,26.09,2717,40.07,0,0,"numeric",159
"55","saldo_cal234_1m",1612,23.77,2815,41.51,0,0,"numeric",2310
"56","por_cal234_1m",1710,25.22,2717,40.07,0,0,"numeric",156
"57","saldo_cal1234_1m",1462,21.56,2815,41.51,0,0,"numeric",2459
"58","por_cal1234_1m",1560,23.01,2717,40.07,0,0,"numeric",210
"59","calificacion_1m",1623,23.93,2717,40.07,0,0,"integer",6
"60","saldo_1m",0,0,2815,41.51,0,0,"numeric",3877
"61","mora_1m",1398,20.62,2815,41.51,0,0,"integer",1674
"62","saldo_mora90_1m",1731,25.53,2815,41.51,0,0,"numeric",2190
"63","por_mora90_1m",1731,25.53,2815,41.51,0,0,"numeric",205
"64","saldo_mora60_1m",1687,24.88,2815,41.51,0,0,"numeric",2234
"65","por_mora60_1m",1687,24.88,2815,41.51,0,0,"numeric",228
"66","saldo_mora30_1m",1636,24.13,2815,41.51,0,0,"numeric",2284
"67","por_mora30_1m",1636,24.13,2815,41.51,0,0,"numeric",235
"68","saldo_mora0_1m",1398,20.62,2815,41.51,0,0,"numeric",2522
"69","por_mora0_1m",1398,20.62,2815,41.51,0,0,"numeric",314
"70","por_mora_0_1m",2245,33.11,2815,41.51,0,0,"numeric",314
"71","por_vig_1m",2069,30.51,2815,41.51,0,0,"numeric",288
"72","saldo_novig_1m",3655,53.9,2815,41.51,0,0,"numeric",311
"73","por_novig_1m",3656,53.92,2815,41.51,0,0,"numeric",201
"74","saldo_castigo_1m",1848,27.25,2815,41.51,0,0,"numeric",2078
"75","por_castigo_1m",1848,27.25,2815,41.51,0,0,"numeric",199
"76","linea_activa_1m",0,0,5695,83.98,0,0,"numeric",536
"77","linea_total_1m",0,0,5685,83.84,0,0,"numeric",635
"78","linea_usada_1m",167,2.46,5685,83.84,0,0,"numeric",928
"79","por_uso_linea_1m",168,2.48,5685,83.84,0,0,"numeric",757
"80","disp_efectivo_1m",764,11.27,5685,83.84,0,0,"numeric",317
"81","por_uso_efectivo_1m",764,11.27,5685,83.84,0,0,"numeric",310
"82","saldo_me_1m",3910,57.66,2815,41.51,0,0,"numeric",57
"83","por_me_1m",3911,57.68,2815,41.51,0,0,"numeric",47
"84","por_cal0_min1m3",2582,38.08,2584,38.11,0,0,"numeric",246
"85","saldo_cal4_max1m3",1790,26.4,2687,39.63,0,0,"numeric",2259
"86","por_cal4_max1m3",1893,27.92,2584,38.11,0,0,"numeric",196
"87","saldo_cal34_max1m3",1693,24.97,2687,39.63,0,0,"numeric",2358
"88","por_cal34_max1m3",1796,26.49,2584,38.11,0,0,"numeric",158
"89","saldo_cal234_max1m3",1611,23.76,2687,39.63,0,0,"numeric",2437
"90","por_cal234_max1m3",1714,25.28,2584,38.11,0,0,"numeric",165
"91","saldo_cal1234_max1m3",1394,20.56,2687,39.63,0,0,"numeric",2643
"92","por_cal1234_max1m3",1499,22.11,2584,38.11,0,0,"numeric",246
"93","calificacion_max1m3",1574,23.21,0,0,0,0,"integer",7
"94","saldo_max1m3",0,0,2687,39.63,0,0,"numeric",3950
"95","mora_max1m3",1277,18.83,2687,39.63,0,0,"integer",1725
"96","saldo_mora90_max1m3",1763,26,2687,39.63,0,0,"numeric",2286
"97","por_mora90_max1m3",1763,26,2687,39.63,0,0,"numeric",207
"98","saldo_mora60_max1m3",1704,25.13,2687,39.63,0,0,"numeric",2345
"99","por_mora60_max1m3",1704,25.13,2687,39.63,0,0,"numeric",239
"100","saldo_mora30_max1m3",1626,23.98,2687,39.63,0,0,"numeric",2422
"101","por_mora30_max1m3",1626,23.98,2687,39.63,0,0,"numeric",256
"102","saldo_mora0_max1m3",1277,18.83,2687,39.63,0,0,"numeric",2761
"103","por_mora0_max1m3",1278,18.85,2687,39.63,0,0,"numeric",376
"104","por_mora_0_min1m3",2432,35.86,2687,39.63,0,0,"numeric",376
"105","por_vig_min1m3",2165,31.93,2687,39.63,0,0,"numeric",317
"106","saldo_novig_max1m3",3648,53.8,2687,39.63,0,0,"numeric",441
"107","por_novig_max1m3",3649,53.81,2687,39.63,0,0,"numeric",269
"108","saldo_castigo_max1m3",1896,27.96,2687,39.63,0,0,"numeric",2157
"109","por_castigo_max1m3",1896,27.96,2687,39.63,0,0,"numeric",201
"110","linea_activa_max1m3",0,0,5641,83.19,0,0,"numeric",595
"111","linea_total_max1m3",0,0,5633,83.07,0,0,"numeric",686
"112","linea_usada_max1m3",151,2.23,5633,83.07,0,0,"numeric",993
"113","por_uso_linea_max1m3",151,2.23,5633,83.07,0,0,"numeric",752
"114","disp_efectivo_max1m3",744,10.97,5633,83.07,0,0,"numeric",358
"115","por_uso_efectivo_max1m3",744,10.97,5633,83.07,0,0,"numeric",367
"116","saldo_me_max1m3",4022,59.31,2687,39.63,0,0,"numeric",73
"117","por_me_max1m3",4023,59.33,2687,39.63,0,0,"numeric",60
"118","por_cal0_min1m6",2798,41.26,2451,36.15,0,0,"numeric",279
"119","saldo_cal4_max1m6",1829,26.97,2547,37.56,0,0,"numeric",2357
"120","por_cal4_max1m6",1925,28.39,2451,36.15,0,0,"numeric",194
"121","saldo_cal34_max1m6",1704,25.13,2547,37.56,0,0,"numeric",2485
"122","por_cal34_max1m6",1800,26.54,2451,36.15,0,0,"numeric",163
"123","saldo_cal234_max1m6",1599,23.58,2547,37.56,0,0,"numeric",2582
"124","por_cal234_max1m6",1695,25,2451,36.15,0,0,"numeric",176
"125","saldo_cal1234_max1m6",1312,19.35,2547,37.56,0,0,"numeric",2858
"126","por_cal1234_max1m6",1410,20.79,2451,36.15,0,0,"numeric",280
"127","calificacion_max1m6",1510,22.27,0,0,0,0,"integer",7
"128","saldo_max1m6",0,0,2547,37.56,0,0,"numeric",4019
"129","mora_max1m6",1171,17.27,2547,37.56,0,0,"integer",1767
"130","saldo_mora90_max1m6",1787,26.35,2547,37.56,0,0,"numeric",2399
"131","por_mora90_max1m6",1787,26.35,2547,37.56,0,0,"numeric",215
"132","saldo_mora60_max1m6",1715,25.29,2547,37.56,0,0,"numeric",2472
"133","por_mora60_max1m6",1715,25.29,2547,37.56,0,0,"numeric",250
"134","saldo_mora30_max1m6",1612,23.77,2547,37.56,0,0,"numeric",2570
"135","por_mora30_max1m6",1612,23.77,2547,37.56,0,0,"numeric",272
"136","saldo_mora0_max1m6",1171,17.27,2547,37.56,0,0,"numeric",3000
"137","por_mora0_max1m6",1172,17.28,2547,37.56,0,0,"numeric",416
"138","por_mora_0_min1m6",2641,38.95,2547,37.56,0,0,"numeric",416
"139","por_vig_min1m6",2286,33.71,2547,37.56,0,0,"numeric",344
"140","saldo_novig_max1m6",3637,53.64,2547,37.56,0,0,"numeric",589
"141","por_novig_max1m6",3639,53.66,2547,37.56,0,0,"numeric",334
"142","saldo_castigo_max1m6",1950,28.76,2547,37.56,0,0,"numeric",2240
"143","por_castigo_max1m6",1950,28.76,2547,37.56,0,0,"numeric",200
"144","linea_activa_max1m6",0,0,5572,82.17,0,0,"numeric",639
"145","linea_total_max1m6",0,0,5554,81.91,0,0,"numeric",742
"146","linea_usada_max1m6",151,2.23,5554,81.91,0,0,"numeric",1070
"147","por_uso_linea_max1m6",151,2.23,5554,81.91,0,0,"numeric",725
"148","disp_efectivo_max1m6",771,11.37,5554,81.91,0,0,"numeric",390
"149","por_uso_efectivo_max1m6",774,11.41,5554,81.91,0,0,"numeric",405
"150","saldo_me_max1m6",4150,61.2,2547,37.56,0,0,"numeric",85
"151","por_me_max1m6",4151,61.22,2547,37.56,0,0,"numeric",72
"152","por_cal0_min1m12",3193,47.09,2209,32.58,0,0,"numeric",303
"153","saldo_cal4_max1m12",1817,26.8,2303,33.96,0,0,"numeric",2612
"154","por_cal4_max1m12",1911,28.18,2209,32.58,0,0,"numeric",199
"155","saldo_cal34_max1m12",1664,24.54,2303,33.96,0,0,"numeric",2771
"156","por_cal34_max1m12",1758,25.93,2209,32.58,0,0,"numeric",166
"157","saldo_cal234_max1m12",1527,22.52,2303,33.96,0,0,"numeric",2904
"158","por_cal234_max1m12",1621,23.91,2209,32.58,0,0,"numeric",189
"159","saldo_cal1234_max1m12",1177,17.36,2303,33.96,0,0,"numeric",3240
"160","por_cal1234_max1m12",1273,18.77,2209,32.58,0,0,"numeric",311
"161","calificacion_max1m12",1389,20.48,0,0,0,0,"integer",7
"162","saldo_max1m12",0,0,2303,33.96,0,0,"numeric",4223
"163","mora_max1m12",1022,15.07,2303,33.96,0,0,"integer",1890
"164","saldo_mora90_max1m12",1763,26,2303,33.96,0,0,"numeric",2665
"165","por_mora90_max1m12",1763,26,2303,33.96,0,0,"numeric",225
"166","saldo_mora60_max1m12",1673,24.67,2303,33.96,0,0,"numeric",2758
"167","por_mora60_max1m12",1673,24.67,2303,33.96,0,0,"numeric",262
"168","saldo_mora30_max1m12",1535,22.64,2303,33.96,0,0,"numeric",2895
"169","por_mora30_max1m12",1535,22.64,2303,33.96,0,0,"numeric",292
"170","saldo_mora0_max1m12",1022,15.07,2303,33.96,0,0,"numeric",3390
"171","por_mora0_max1m12",1024,15.1,2303,33.96,0,0,"numeric",433
"172","por_mora_0_min1m12",3014,44.45,2303,33.96,0,0,"numeric",433
"173","por_vig_min1m12",2576,37.99,2303,33.96,0,0,"numeric",378
"174","saldo_novig_max1m12",3565,52.57,2303,33.96,0,0,"numeric",903
"175","por_novig_max1m12",3566,52.59,2303,33.96,0,0,"numeric",454
"176","saldo_castigo_max1m12",1955,28.83,2303,33.96,0,0,"numeric",2479
"177","por_castigo_max1m12",1955,28.83,2303,33.96,0,0,"numeric",204
"178","linea_activa_max1m12",0,0,5435,80.15,0,0,"numeric",735
"179","linea_total_max1m12",0,0,5416,79.87,0,0,"numeric",859
"180","linea_usada_max1m12",144,2.12,5416,79.87,0,0,"numeric",1214
"181","por_uso_linea_max1m12",144,2.12,5416,79.87,0,0,"numeric",710
"182","disp_efectivo_max1m12",816,12.03,5416,79.87,0,0,"numeric",447
"183","por_uso_efectivo_max1m12",819,12.08,5416,79.87,0,0,"numeric",467
"184","saldo_me_max1m12",4375,64.52,2303,33.96,0,0,"numeric",103
"185","por_me_max1m12",4376,64.53,2303,33.96,0,0,"numeric",81
"186","expcred_1m12",2303,33.96,0,0,0,0,"integer",13
"187","cv_saldo_1m12",1490,21.97,2303,33.96,0,0,"numeric",2350
"188","frec_por_cal0_100_1m12",4701,69.33,0,0,0,0,"integer",13
"189","frec_por_cal4_100_1m12",4320,63.71,0,0,0,0,"integer",13
"190","frec_calificacion_0_1m12",4553,67.14,0,0,0,0,"integer",13
"191","frec_calificacion_4_1m12",4251,62.69,0,0,0,0,"integer",13
"192","frec_calificacion_34_1m12",4103,60.51,0,0,0,0,"integer",13
"193","frec_calificacion_234_1m12",3971,58.56,0,0,0,0,"integer",13
"194","frec_calificacion_1234_1m12",3692,54.45,0,0,0,0,"integer",13
"195","frec_mora_0_1m12",4678,68.99,0,0,0,0,"integer",13
"196","frec_mora0_1m12",3325,49.03,0,0,0,0,"integer",13
"197","frec_mora30_1m12",3838,56.6,0,0,0,0,"integer",13
"198","frec_mora60_1m12",3976,58.63,0,0,0,0,"integer",13
"199","frec_mora90_1m12",4066,59.96,0,0,0,0,"integer",13
"200","frec_mora120_1m12",4124,60.82,0,0,0,0,"integer",13
"201","rec_por_cal0_100_1m12",0,0,4701,69.33,0,0,"integer",12
"202","rec_por_cal4_100_1m12",0,0,4320,63.71,0,0,"integer",12
"203","rec_calificacion_0_1m12",0,0,4553,67.14,0,0,"integer",12
"204","rec_calificacion_4_1m12",0,0,4251,62.69,0,0,"integer",12
"205","rec_calificacion_34_1m12",0,0,4103,60.51,0,0,"integer",12
"206","rec_calificacion_234_1m12",0,0,3971,58.56,0,0,"integer",12
"207","rec_calificacion_1234_1m12",0,0,3692,54.45,0,0,"integer",12
"208","rec_mora_0_1m12",0,0,4678,68.99,0,0,"integer",12
"209","rec_mora0_1m12",0,0,3325,49.03,0,0,"integer",12
"210","rec_mora30_1m12",0,0,3838,56.6,0,0,"integer",12
"211","rec_mora60_1m12",0,0,3976,58.63,0,0,"integer",12
"212","rec_mora90_1m12",0,0,4066,59.96,0,0,"integer",12
"213","rec_mora120_1m12",0,0,4124,60.82,0,0,"integer",12
"214","can_emp_var1m3",0,0,0,0,0,0,"factor",4
"215","can_emp_var1m6",0,0,0,0,0,0,"factor",4
"216","can_emp_var1m12",0,0,0,0,0,0,"factor",4
"217","por_cal0_var1m3",0,0,0,0,0,0,"factor",5
"218","por_cal0_var1m6",0,0,0,0,0,0,"factor",5
"219","por_cal0_var1m12",0,0,0,0,0,0,"factor",4
"220","por_cal4_var1m3",0,0,0,0,0,0,"factor",5
"221","por_cal4_var1m6",0,0,0,0,0,0,"factor",5
"222","por_cal4_var1m12",0,0,0,0,0,0,"factor",5
"223","por_cal34_var1m3",0,0,0,0,0,0,"factor",5
"224","por_cal34_var1m6",0,0,0,0,0,0,"factor",5
"225","por_cal34_var1m12",0,0,0,0,0,0,"factor",4
"226","por_cal234_var1m3",0,0,0,0,0,0,"factor",5
"227","por_cal234_var1m6",0,0,0,0,0,0,"factor",5
"228","por_cal234_var1m12",0,0,0,0,0,0,"factor",4
"229","por_cal1234_var1m3",0,0,0,0,0,0,"factor",5
"230","por_cal1234_var1m6",0,0,0,0,0,0,"factor",5
