"var","var_2","fisher"
"1","educacion","estado_civil",0.031984007996002
"2","educacion","vivienda",0.000499750124937531
"3","educacion","perfil",0.000499750124937531
"4","educacion","carga_fam",0.0114942528735632
"5","educacion","marca",0.15392303848076
"6","educacion","calificacion_conalin",0.792603698150925
"7","educacion","calificacion_sinalin",0.64367816091954
"8","educacion","refin",1
"9","educacion","rec_por_cal0_100_1m12",0.3928035982009
"10","educacion","rec_por_cal4_100_1m12",0.496251874062969
"11","educacion","rec_calificacion_0_1m12",0.447776111944028
"12","educacion","rec_calificacion_4_1m12",0.459770114942529
"13","educacion","rec_calificacion_34_1m12",0.251874062968516
"14","educacion","rec_calificacion_234_1m12",0.533733133433283
"15","educacion","rec_calificacion_1234_1m12",0.474762618690655
"16","educacion","rec_mora_0_1m12",0.715642178910545
"17","educacion","rec_mora0_1m12",0.291854072963518
"18","educacion","rec_mora30_1m12",0.513243378310845
"19","educacion","rec_mora60_1m12",0.487756121939031
"20","educacion","rec_mora90_1m12",0.467266366816592
"21","educacion","rec_mora120_1m12",0.376811594202899
"22","educacion","can_emp_var1m3",0.803098450774613
"23","educacion","can_emp_var1m6",0.568215892053973
"24","educacion","can_emp_var1m12",0.0869565217391304
"25","educacion","por_cal0_var1m3",0.217391304347826
"26","educacion","por_cal0_var1m6",0.0134932533733133
"27","educacion","por_cal0_var1m12",0.0649675162418791
"28","educacion","por_cal4_var1m3",0.51624187906047
"29","educacion","por_cal4_var1m6",0.341829085457271
"30","educacion","por_cal4_var1m12",0.149925037481259
"31","educacion","por_cal34_var1m3",0.179410294852574
"32","educacion","por_cal34_var1m6",0.347826086956522
"33","educacion","por_cal34_var1m12",0.274862568715642
"34","educacion","por_cal234_var1m3",0.173413293353323
"35","educacion","por_cal234_var1m6",0.259870064967516
"36","educacion","por_cal234_var1m12",0.230384807596202
"37","educacion","por_cal1234_var1m3",0.437781109445277
"38","educacion","por_cal1234_var1m6",0.237381309345327
"39","educacion","por_cal1234_var1m12",0.343828085957021
"40","educacion","calificacion_var1m3",0.64767616191904
"41","educacion","calificacion_var1m6",0.577711144427786
"42","educacion","calificacion_var1m12",0.298350824587706
"43","educacion","saldo_var1m3",0.100449775112444
"44","educacion","saldo_var1m6",0.251374312843578
"45","educacion","saldo_var1m12",0.056471764117941
"46","educacion","mora_var1m3",0.250374812593703
"47","educacion","mora_var1m6",0.294352823588206
"48","educacion","mora_var1m12",0.247876061969015
"49","educacion","por_mora90_var1m3",0.27536231884058
"50","educacion","por_mora90_var1m6",0.231884057971014
"51","educacion","por_mora90_var1m12",0.249875062468766
"52","educacion","por_mora60_var1m3",0.331834082958521
"53","educacion","por_mora60_var1m6",0.425287356321839
"54","educacion","por_mora60_var1m12",0.322338830584708
"55","educacion","por_mora30_var1m3",0.280859570214893
"56","educacion","por_mora30_var1m6",0.332333833083458
"57","educacion","por_mora30_var1m12",0.442778610694653
"58","educacion","por_mora0_var1m3",0.598200899550225
"59","educacion","por_mora0_var1m6",0.403298350824588
"60","educacion","por_mora0_var1m12",0.308345827086457
"61","educacion","por_mora_0_var1m3",0.327336331834083
"62","educacion","por_mora_0_var1m6",0.0409795102448776
"63","educacion","por_mora_0_var1m12",0.108945527236382
"64","educacion","por_vig_var1m3",0.172413793103448
"65","educacion","por_vig_var1m6",0.0214892553723138
"66","educacion","por_vig_var1m12",0.103948025987006
"67","educacion","por_novig_var1m3",0.161419290354823
"68","educacion","por_novig_var1m6",0.292353823088456
"69","educacion","por_novig_var1m12",0.625687156421789
"70","educacion","por_castigo_var1m3",0.563218390804598
"71","educacion","por_castigo_var1m6",0.557221389305347
"72","educacion","por_castigo_var1m12",0.399300349825087
"73","educacion","linea_activa_var1m3",0.139430284857571
"74","educacion","linea_activa_var1m6",0.0754622688655672
"75","educacion","linea_activa_var1m12",0.124937531234383
"76","educacion","por_uso_linea_var1m3",0.0849575212393803
"77","educacion","por_uso_linea_var1m6",0.245877061469265
"78","educacion","por_uso_linea_var1m12",0.28735632183908
"79","educacion","por_uso_efectivo_var1m3",0.4047976011994
"80","educacion","por_uso_efectivo_var1m6",0.132433783108446
"81","educacion","por_uso_efectivo_var1m12",0.444277861069465
"82","educacion","por_me_var1m3",0.24487756121939
"83","educacion","por_me_var1m6",0.282358820589705
"84","educacion","por_me_var1m12",0.146926536731634
"85","educacion","can_emp_1m_max2m12",0.392303848075962
"86","educacion","can_emp_max1m3_max4m12",0.0984507746126937
"87","educacion","can_emp_max1m6_max7m12",0.248875562218891
"88","educacion","por_cal0_1m_min2m12",0.319340329835082
"89","educacion","por_cal0_min1m3_min4m12",0.231384307846077
"90","educacion","por_cal0_min1m6_min7m12",0.158420789605197
"91","educacion","por_cal4_1m_max2m12",0.592203898050975
"92","educacion","por_cal4_max1m3_max4m12",0.551724137931034
"93","educacion","por_cal4_max1m6_max7m12",0.337831084457771
"94","educacion","por_cal34_1m_max2m12",0.12343828085957
"95","educacion","por_cal34_max1m3_max4m12",0.156921539230385
"96","educacion","por_cal34_max1m6_max7m12",0.259870064967516
"97","educacion","por_cal234_1m_max2m12",0.229385307346327
"98","educacion","por_cal234_max1m3_max4m12",0.0689655172413793
"99","educacion","por_cal234_max1m6_max7m12",0.0674662668665667
"100","educacion","por_cal1234_1m_max2m12",0.469265367316342
"101","educacion","por_cal1234_max1m3_max4m12",0.0434782608695652
"102","educacion","por_cal1234_max1m6_max7m12",0.186906546726637
"103","educacion","calificacion_1m_max2m12",0.124437781109445
"104","educacion","calificacion_max1m3_max4m12",0.0824587706146927
"105","educacion","calificacion_max1m6_max7m12",0.210394802598701
"106","educacion","saldo_1m_max2m12",0.0284857571214393
"107","educacion","saldo_max1m3_max4m12",0.120439780109945
"108","educacion","saldo_max1m6_max7m12",0.0729635182408796
"109","educacion","mora_1m_max2m12",0.344327836081959
"110","educacion","mora_max1m3_max4m12",0.536731634182909
"111","educacion","mora_max1m6_max7m12",0.426786606696652
"112","educacion","por_mora90_1m_max2m12",0.228385807096452
"113","educacion","por_mora90_max1m3_max4m12",0.282858570714643
"114","educacion","por_mora90_max1m6_max7m12",0.2063968015992
"115","educacion","por_mora60_1m_max2m12",0.209895052473763
"116","educacion","por_mora60_max1m3_max4m12",0.302848575712144
"117","educacion","por_mora60_max1m6_max7m12",0.300849575212394
"118","educacion","por_mora30_1m_max2m12",0.177911044477761
"119","educacion","por_mora30_max1m3_max4m12",0.143428285857071
"120","educacion","por_mora30_max1m6_max7m12",0.116441779110445
"121","educacion","por_mora0_1m_max2m12",0.712143928035982
"122","educacion","por_mora0_max1m3_max4m12",0.454772613693153
"123","educacion","por_mora0_max1m6_max7m12",0.512743628185907
"124","educacion","por_mora_0_1m_min2m12",0.190904547726137
"125","educacion","por_mora_0_min1m3_min4m12",0.280859570214893
"126","educacion","por_mora_0_min1m6_min7m12",0.156421789105447
"127","educacion","por_vig_1m_min2m12",0.136431784107946
"128","educacion","por_vig_min1m3_min4m12",0.146926536731634
"129","educacion","por_vig_min1m6_min7m12",0.0114942528735632
"130","educacion","por_novig_1m_max2m12",0.0734632683658171
"131","educacion","por_novig_max1m3_max4m12",0.272863568215892
"132","educacion","por_novig_max1m6_max7m12",0.0939530234882559
"133","educacion","por_castigo_1m_max2m12",0.565217391304348
"134","educacion","por_castigo_max1m3_max4m12",0.469765117441279
"135","educacion","por_castigo_max1m6_max7m12",0.655672163918041
"136","educacion","linea_activa_1m_max2m12",0.103448275862069
"137","educacion","linea_activa_max1m3_max4m12",0.216391804097951
"138","educacion","linea_activa_max1m6_max7m12",0.250374812593703
"139","educacion","por_uso_linea_1m_max2m12",0.0249875062468766
"140","educacion","por_uso_linea_max1m3_max4m12",0.324337831084458
"141","educacion","por_uso_linea_max1m6_max7m12",0.577711144427786
"142","educacion","por_uso_efectivo_1m_max2m12",0.204897551224388
"143","educacion","por_uso_efectivo_max1m3_max4m12",0.261869065467266
"144","educacion","por_uso_efectivo_max1m6_max7m12",0.181909045477261
"145","educacion","por_me_1m_max2m12",0.241379310344828
"146","educacion","por_me_max1m3_max4m12",0.227386306846577
"147","educacion","por_me_max1m6_max7m12",0.238380809595202
"148","educacion","disp_efectivo_max1m12_flg",0.11944027986007
"149","educacion","disp_efectivo_1m_flg",0.0574712643678161
"150","educacion","disp_efectivo_max1m3_flg",0.103948025987006
"151","educacion","disp_efectivo_max1m6_flg",0.325337331334333
"152","educacion","linea_activa_1m_flg",0.0374812593703148
"153","educacion","linea_activa_max1m12_flg",0.0889555222388806
"154","educacion","linea_activa_max1m3_flg",0.0899550224887556
"155","educacion","linea_activa_max1m6_flg",0.259870064967516
"156","educacion","linea_total_1m_flg",0.0574712643678161
"157","educacion","linea_total_max1m12_flg",0.12543728135932
"158","educacion","linea_total_max1m3_flg",0.111944027986007
"159","educacion","linea_total_max1m6_flg",0.303348325837081
"160","educacion","linea_usada_1m_flg",0.0524737631184408
"161","educacion","linea_usada_max1m12_flg",0.135932033983008
"162","educacion","linea_usada_max1m3_flg",0.106946526736632
"163","educacion","linea_usada_max1m6_flg",0.31984007996002
"164","estado_civil","vivienda",0.000499750124937531
"165","estado_civil","perfil",0.000499750124937531
"166","estado_civil","carga_fam",0.000499750124937531
"167","estado_civil","marca",0.450774612693653
"168","estado_civil","calificacion_conalin",0.0369815092453773
"169","estado_civil","calificacion_sinalin",0.177411294352824
"170","estado_civil","refin",0.137431284357821
"171","estado_civil","rec_por_cal0_100_1m12",0.00449775112443778
"172","estado_civil","rec_por_cal4_100_1m12",0.0594702648675662
"173","estado_civil","rec_calificacion_0_1m12",0.0364817591204398
"174","estado_civil","rec_calificacion_4_1m12",0.0889555222388806
"175","estado_civil","rec_calificacion_34_1m12",0.0819590204897551
"176","estado_civil","rec_calificacion_234_1m12",0.0699650174912544
"177","estado_civil","rec_calificacion_1234_1m12",0.0919540229885057
"178","estado_civil","rec_mora_0_1m12",0.0424787606196902
"179","estado_civil","rec_mora0_1m12",0.138430784607696
"180","estado_civil","rec_mora30_1m12",0.309345327336332
"181","estado_civil","rec_mora60_1m12",0.158920539730135
"182","estado_civil","rec_mora90_1m12",0.192903548225887
"183","estado_civil","rec_mora120_1m12",0.129935032483758
"184","estado_civil","can_emp_var1m3",0.0919540229885057
"185","estado_civil","can_emp_var1m6",0.00149925037481259
"186","estado_civil","can_emp_var1m12",0.000999500249875062
"187","estado_civil","por_cal0_var1m3",0.0529735132433783
"188","estado_civil","por_cal0_var1m6",0.0994502748625687
"189","estado_civil","por_cal0_var1m12",0.0644677661169415
"190","estado_civil","por_cal4_var1m3",0.291354322838581
"191","estado_civil","por_cal4_var1m6",0.156421789105447
"192","estado_civil","por_cal4_var1m12",0.0829585207396302
"193","estado_civil","por_cal34_var1m3",0.0129935032483758
"194","estado_civil","por_cal34_var1m6",0.0219890054972514
"195","estado_civil","por_cal34_var1m12",0.0559720139930035
"196","estado_civil","por_cal234_var1m3",0.0224887556221889
"197","estado_civil","por_cal234_var1m6",0.0579710144927536
"198","estado_civil","por_cal234_var1m12",0.128435782108946
"199","estado_civil","por_cal1234_var1m3",0.0154922538730635
"200","estado_civil","por_cal1234_var1m6",0.0209895052473763
"201","estado_civil","por_cal1234_var1m12",0.0489755122438781
"202","estado_civil","calificacion_var1m3",0.0644677661169415
"203","estado_civil","calificacion_var1m6",0.209395302348826
"204","estado_civil","calificacion_var1m12",0.00299850074962519
"205","estado_civil","saldo_var1m3",0.0164917541229385
"206","estado_civil","saldo_var1m6",0.00149925037481259
"207","estado_civil","saldo_var1m12",0.000499750124937531
"208","estado_civil","mora_var1m3",0.0674662668665667
"209","estado_civil","mora_var1m6",0.235382308845577
"210","estado_civil","mora_var1m12",0.120439780109945
"211","estado_civil","por_mora90_var1m3",0.0804597701149425
"212","estado_civil","por_mora90_var1m6",0.247876061969015
"213","estado_civil","por_mora90_var1m12",0.0824587706146927
"214","estado_civil","por_mora60_var1m3",0.0429785107446277
"215","estado_civil","por_mora60_var1m6",0.0584707646176912
"216","estado_civil","por_mora60_var1m12",0.0289855072463768
"217","estado_civil","por_mora30_var1m3",0.0599700149925037
"218","estado_civil","por_mora30_var1m6",0.0584707646176912
"219","estado_civil","por_mora30_var1m12",0.0749625187406297
"220","estado_civil","por_mora0_var1m3",0.00199900049975012
"221","estado_civil","por_mora0_var1m6",0.0124937531234383
"222","estado_civil","por_mora0_var1m12",0.0389805097451274
"223","estado_civil","por_mora_0_var1m3",0.0699650174912544
"224","estado_civil","por_mora_0_var1m6",0.0594702648675662
"225","estado_civil","por_mora_0_var1m12",0.0264867566216892
"226","estado_civil","por_vig_var1m3",0.289855072463768
"227","estado_civil","por_vig_var1m6",0.174412793603198
"228","estado_civil","por_vig_var1m12",0.0894552723638181
"229","estado_civil","por_novig_var1m3",0.0879560219890055
"230","estado_civil","por_novig_var1m6",0.0189905047476262
"231","estado_civil","por_novig_var1m12",0.0824587706146927
"232","estado_civil","por_castigo_var1m3",0.174412793603198
"233","estado_civil","por_castigo_var1m6",0.063968015992004
