cosecha,activacion,cv,co,expediente,producto,maf,ci,cuota,marca,pv
201301,9/01/2013,B8709001,B8709001,25392208,Recolocado,,,,,
201301,16/01/2013,B8798001,B8798001,25397942,Recolocado,,,,,
201301,25/01/2013,B8936001,B8936001,25404047,Recolocado,,,,,
201301,31/01/2013,B9041001,B9041001,25407287,Recolocado,,,,,
201301,30/01/2013,B9042001,B9042001,25407680,Recolocado,,,,,
201301,31/01/2013,B9086001,B9086001,25410053,Recolocado,,,,,
201301,31/01/2013,B9094001,B9094001,25409180,Recolocado,,,,,
201301,11/01/2013,Y7289003,Y7289003,25385160,Recolocado,,,,,
201301,30/01/2013,Y7903004,Y7903004,25400920,Recolocado,,,,,
201302,28/02/2013,B6851004,B6851001,25418289,Recolocado,,,,,
201302,27/02/2013,B8435002,B8435002,25412324,Recolocado,,,,,
201302,20/02/2013,B9141001,B9141001,25413158,Recolocado,,,,,
201302,26/02/2013,B9208001,B9208001,25414408,Recolocado,,,,,
201302,26/02/2013,B9281001,B9281001,25418118,Recolocado,,,,,
201302,26/02/2013,B9309001,B9309001,25415626,Recolocado,,,,,
201302,27/02/2013,B9310001,B9310001,25419261,Recolocado,,,,,
201302,28/02/2013,B9497001,B9497001,25410918,Recolocado,,,,,
201302,28/02/2013,Y8639003,Y8639003,25422271,Recolocado,,,,,
201303,5/03/2013,B9508001,B9508001,25424378,Recolocado,,,,,
201303,14/03/2013,B9512001,B9512001,25420928,Recolocado,,,,,
201303,25/03/2013,B9755001,B9755001,25428656,Recolocado,,,,,
201303,30/03/2013,B9769001,B9769001,25426662,Recolocado,,,,,
201303,30/03/2013,B9799001,B9799001,25428507,Recolocado,,,,,
201303,30/03/2013,B9825001,B9825001,25433104,Recolocado,,,,,
201304,9/04/2013,B9800001,B9800001,25427221,Recolocado,,,,,
201304,5/04/2013,B9904001,B9904001,25435862,Recolocado,,,,,
201304,18/04/2013,B9996001,B9996001,25440669,Recolocado,,,,,
201304,19/04/2013,C0029001,C0029001,25444965,Recolocado,,,,,
201304,19/04/2013,C0061001,C0061001,25445681,Recolocado,,,,,
