,frecuency,perc_null
can_emp_1m,847,0.3454
cm_1m,847,0.3454
por_cal0_1m,847,0.3454
saldo_cal4_1m,888,0.3622
por_cal4_1m,847,0.3454
saldo_cal34_1m,888,0.3622
por_cal34_1m,847,0.3454
saldo_cal234_1m,888,0.3622
por_cal234_1m,847,0.3454
saldo_cal1234_1m,888,0.3622
por_cal1234_1m,847,0.3454
calificacion_1m,847,0.3454
saldo_1m,888,0.3622
mora_1m,888,0.3622
saldo_mora90_1m,888,0.3622
por_mora90_1m,888,0.3622
saldo_mora60_1m,888,0.3622
por_mora60_1m,888,0.3622
saldo_mora30_1m,888,0.3622
por_mora30_1m,888,0.3622
saldo_mora0_1m,888,0.3622
por_mora0_1m,888,0.3622
por_mora_0_1m,888,0.3622
por_vig_1m,888,0.3622
saldo_novig_1m,888,0.3622
por_novig_1m,888,0.3622
saldo_castigo_1m,888,0.3622
por_castigo_1m,888,0.3622
linea_activa_1m,1981,0.8079
linea_total_1m,1974,0.8051
linea_usada_1m,1974,0.8051
por_uso_linea_1m,1974,0.8051
disp_efectivo_1m,1974,0.8051
por_uso_efectivo_1m,1974,0.8051
saldo_me_1m,888,0.3622
por_me_1m,888,0.3622
por_cal0_min1m3,780,0.3181
saldo_cal4_max1m3,828,0.3377
por_cal4_max1m3,780,0.3181
saldo_cal34_max1m3,828,0.3377
por_cal34_max1m3,780,0.3181
saldo_cal234_max1m3,828,0.3377
por_cal234_max1m3,780,0.3181
saldo_cal1234_max1m3,828,0.3377
por_cal1234_max1m3,780,0.3181
saldo_max1m3,828,0.3377
mora_max1m3,828,0.3377
saldo_mora90_max1m3,828,0.3377
por_mora90_max1m3,828,0.3377
saldo_mora60_max1m3,828,0.3377
por_mora60_max1m3,828,0.3377
saldo_mora30_max1m3,828,0.3377
por_mora30_max1m3,828,0.3377
saldo_mora0_max1m3,828,0.3377
por_mora0_max1m3,828,0.3377
por_mora_0_min1m3,828,0.3377
por_vig_min1m3,828,0.3377
saldo_novig_max1m3,828,0.3377
por_novig_max1m3,828,0.3377
saldo_castigo_max1m3,828,0.3377
por_castigo_max1m3,828,0.3377
linea_activa_max1m3,1958,0.7985
linea_total_max1m3,1953,0.7965
linea_usada_max1m3,1953,0.7965
por_uso_linea_max1m3,1953,0.7965
disp_efectivo_max1m3,1953,0.7965
por_uso_efectivo_max1m3,1953,0.7965
saldo_me_max1m3,828,0.3377
por_me_max1m3,828,0.3377
por_cal0_min1m6,727,0.2965
saldo_cal4_max1m6,769,0.3136
por_cal4_max1m6,727,0.2965
saldo_cal34_max1m6,769,0.3136
por_cal34_max1m6,727,0.2965
saldo_cal234_max1m6,769,0.3136
por_cal234_max1m6,727,0.2965
saldo_cal1234_max1m6,769,0.3136
por_cal1234_max1m6,727,0.2965
saldo_max1m6,769,0.3136
mora_max1m6,769,0.3136
saldo_mora90_max1m6,769,0.3136
por_mora90_max1m6,769,0.3136
saldo_mora60_max1m6,769,0.3136
por_mora60_max1m6,769,0.3136
saldo_mora30_max1m6,769,0.3136
por_mora30_max1m6,769,0.3136
saldo_mora0_max1m6,769,0.3136
por_mora0_max1m6,769,0.3136
por_mora_0_min1m6,769,0.3136
por_vig_min1m6,769,0.3136
saldo_novig_max1m6,769,0.3136
por_novig_max1m6,769,0.3136
saldo_castigo_max1m6,769,0.3136
por_castigo_max1m6,769,0.3136
linea_activa_max1m6,1919,0.7826
linea_total_max1m6,1909,0.7785
linea_usada_max1m6,1909,0.7785
por_uso_linea_max1m6,1909,0.7785
disp_efectivo_max1m6,1909,0.7785
por_uso_efectivo_max1m6,1909,0.7785
saldo_me_max1m6,769,0.3136
por_me_max1m6,769,0.3136
por_cal0_min1m12,632,0.2577
saldo_cal4_max1m12,670,0.2732
por_cal4_max1m12,632,0.2577
saldo_cal34_max1m12,670,0.2732
por_cal34_max1m12,632,0.2577
saldo_cal234_max1m12,670,0.2732
por_cal234_max1m12,632,0.2577
saldo_cal1234_max1m12,670,0.2732
por_cal1234_max1m12,632,0.2577
saldo_max1m12,670,0.2732
mora_max1m12,670,0.2732
saldo_mora90_max1m12,670,0.2732
por_mora90_max1m12,670,0.2732
saldo_mora60_max1m12,670,0.2732
por_mora60_max1m12,670,0.2732
saldo_mora30_max1m12,670,0.2732
por_mora30_max1m12,670,0.2732
saldo_mora0_max1m12,670,0.2732
por_mora0_max1m12,670,0.2732
por_mora_0_min1m12,670,0.2732
por_vig_min1m12,670,0.2732
saldo_novig_max1m12,670,0.2732
por_novig_max1m12,670,0.2732
saldo_castigo_max1m12,670,0.2732
por_castigo_max1m12,670,0.2732
linea_activa_max1m12,1848,0.7537
linea_total_max1m12,1836,0.7488
linea_usada_max1m12,1836,0.7488
por_uso_linea_max1m12,1836,0.7488
disp_efectivo_max1m12,1836,0.7488
por_uso_efectivo_max1m12,1836,0.7488
saldo_me_max1m12,670,0.2732
por_me_max1m12,670,0.2732
cv_saldo_1m12,670,0.2732
